Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC3,06/08/16,Annan Athletic,Stirling,3,2,H,3,1,H,2.15,3.75,3,2.1,3.5,2.9,2.1,3.35,2.95,2.2,3.5,3.1,2.28,3.61,3.18,2.3,3.5,3,2.2,3.6,3.1,49,2.3,2.18,3.75,3.42,3.18,2.95,27,1.75,1.7,2.15,2.06,24,-0.25,2,1.93,1.97,1.88,2.5,3.62,2.83
SC3,06/08/16,Arbroath,Berwick,1,1,D,0,0,D,2,3.6,3.5,1.9,3.5,3.4,1.9,3.4,3.4,2,3.5,3.6,2.01,3.65,3.88,2,3.6,3.6,2,3.7,3.6,26,2.03,1.97,3.7,3.45,3.88,3.45,11,1.85,1.77,2.05,1.97,14,-0.5,2.05,1.99,1.88,1.83,1.84,3.8,4.46
SC3,06/08/16,Clyde,Montrose,2,1,H,1,0,H,1.57,4,5.75,1.6,3.8,4.5,1.55,3.9,4.65,1.62,4,5.25,1.63,4.25,5.56,1.62,4,5,1.6,4.2,5.4,49,1.65,1.58,4.25,3.91,5.75,4.96,27,1.63,1.57,2.43,2.28,23,-0.75,1.82,1.77,2.12,2.05,1.6,4.36,5.74
SC3,06/08/16,Cowdenbeath,Elgin,0,1,A,0,0,D,2.2,3.75,2.88,2.2,3.5,2.7,2.2,3.35,2.8,2.25,3.5,2.9,2.31,3.68,3.07,2.3,3.5,3,2.3,3.7,2.9,27,2.31,2.21,3.75,3.47,3.07,2.88,14,1.7,1.66,2.26,2.12,14,-0.25,2.03,1.97,1.9,1.86,1.94,3.8,3.96
SC3,06/08/16,Edinburgh City,Forfar,2,3,A,1,2,A,3.1,3.8,2.1,3,3.5,2.05,3.1,3.45,2,3.4,3.5,2.1,3.51,3.62,2.13,3.2,3.6,2.15,3.4,3.6,2.1,49,3.51,3.17,3.8,3.45,2.15,2.06,27,1.81,1.74,2.07,2.01,24,0.25,2.06,1.98,1.87,1.83,3.5,3.55,2.16
SC3,13/08/16,Berwick,Annan Athletic,2,0,H,1,0,H,2.15,3.6,3.1,2.25,3.5,2.6,2.15,3.45,2.85,2.2,3.5,3.1,2.24,3.64,3.24,2.3,3.75,2.8,2.25,3.6,3.1,55,2.3,2.18,3.75,3.45,3.24,2.95,32,1.73,1.68,2.22,2.09,28,-0.25,1.98,1.92,1.95,1.88,2,3.79,3.76
SC3,13/08/16,Elgin,Edinburgh City,3,0,H,3,0,H,1.5,4.33,6,1.48,4.2,5,1.55,3.9,4.9,1.57,4.2,5.5,1.57,4.47,5.91,1.57,4.2,5.5,1.57,4.3,5.5,54,1.6,1.53,4.47,4.07,6,5.3,30,1.67,1.63,2.34,2.17,29,-1,2,1.93,1.95,1.86,1.48,4.71,6.99
SC3,13/08/16,Forfar,Cowdenbeath,4,3,H,2,1,H,1.85,3.8,3.8,1.83,3.6,3.5,1.8,3.6,3.75,1.83,3.75,4,1.84,3.96,4.28,1.83,3.8,4,1.85,3.9,4,56,1.9,1.81,3.96,3.65,4.28,3.82,34,1.7,1.65,2.27,2.14,29,-0.5,1.88,1.83,2.06,1.96,1.9,3.9,4.01
SC3,13/08/16,Montrose,Arbroath,1,1,D,0,1,A,2.8,3.75,2.25,2.5,3.5,2.35,2.65,3.35,2.3,2.8,3.4,2.4,3.05,3.7,2.32,2.8,3.5,2.4,2.5,3.75,2.5,54,3.1,2.81,3.75,3.4,2.5,2.28,32,1.73,1.67,2.2,2.11,24,0,2.35,2.17,1.79,1.68,2.93,3.72,2.38
SC3,13/08/16,Stirling,Clyde,1,1,D,0,0,D,2.6,3.8,2.4,2.5,3.3,2.45,2.55,3.3,2.4,2.62,3.4,2.5,2.81,3.54,2.55,2.6,3.6,2.5,2.7,3.5,2.55,55,2.81,2.6,3.8,3.38,2.58,2.44,36,1.9,1.84,1.99,1.91,29,0,2.07,1.96,1.9,1.83,2.79,3.53,2.57
